Timestamp,Favorite Icecream Flavor,Best Pet Type,How confident are you with your math skills? [How confident are you in your math skills?],How confident are you with your math skills? [How creative are you?],How many concerts have you gone to?,How many credits are you taking this semester?,What is the date of your favorite holiday?,Comments
1/30/2025 9:48:39,Mint Chocolate Chip,Cat,Not so much,Average,0,16-19,12/25/2024,N/A
1/30/2025 9:56:15,Strawberry,Cat,Super,Somewhat,1-3,16-19,4/1/2025,Nice form
1/30/2025 10:29:08,Chocolate,Dog,Super,Super,7+,12-15,12/25/0000,I like Mac n cheese
1/30/2025 10:53:58,Mint Chocolate Chip,Dog,Super,Super,1-3,16-19,1/19/2002,Got you g
1/30/2025 10:59:28,Strawberry,Dog,Average,Somewhat,4-6,12-15,12/25/0000,
1/30/2025 11:00:30,Vanilla,Dog,Somewhat,Super,4-6,12-15,10/31/2025,
1/30/2025 12:47:30,Mint Chocolate Chip,Dog,Somewhat,Somewhat,1-3,Less than 12,10/31/0001,Wuddup Maddock
1/30/2025 12:58:16,Mint Chocolate Chip,Dog,Not so much,Super,1-3,12-15,3/24/2025,GO BIRDS
1/30/2025 13:48:48,Mint Chocolate Chip,Cat,Somewhat,Somewhat,4-6,12-15,12/25/2025,
1/30/2025 15:08:21,Strawberry,Dog,Super,Somewhat,1-3,12-15,7/4/2025,
1/30/2025 15:25:54,Chocolate,Cat,Super,Average,1-3,Less than 12,6/9/2069,6969420
1/30/2025 16:12:03,Vanilla,Dog,Somewhat,Somewhat,7+,Less than 12,1/17/1993,
1/30/2025 18:08:09,Vanilla,Cat,Average,Somewhat,4-6,Less than 12,6/1/2025,
2/3/2025 14:53:11,Vanilla,Dog,Average,Average,7+,16-19,3/31/2025,
2/4/2025 9:11:34,Vanilla,Cat,Not so much,Somewhat,7+,12-15,12/25/2024,
2/4/2025 9:16:22,Mint Chocolate Chip,Dog,Not so much,Average,1-3,12-15,11/28/2024,
2/4/2025 9:20:57,Mint Chocolate Chip,Cat,Super,Somewhat,1-3,12-15,1/29/2025,
2/4/2025 9:25:25,Chocolate,Dog,Not at all,Not at all,4-6,16-19,1/10/2003,
2/4/2025 9:30:59,Strawberry,Cat,Somewhat,Somewhat,1-3,12-15,6/1/2025,
2/4/2025 15:17:49,Chocolate,Cat,Not so much,Somewhat,4-6,12-15,12/25/2025,
2/4/2025 20:08:38,Chocolate,Dog,Somewhat,Somewhat,1-3,12-15,12/25/2024,I think an 'Other' option for the ice cream question would be helpful.
2/5/2025 13:53:01,Vanilla,Dog,Somewhat,Somewhat,7+,12-15,4/19/2023,
2/5/2025 14:18:18,Mint Chocolate Chip,Dog,Somewhat,Super,1-3,16-19,12/25/2025,hello!
2/6/2025 15:33:43,Vanilla,Dog,Somewhat,Not so much,1-3,12-15,12/25/0001,
2/8/2025 14:49:59,Mint Chocolate Chip,Dog,Not so much,Super,7+,16-19,12/25/2025,None